time,rabbits,foxes
0,25,10
1,25,10
2,25,10
3,25,10
4,25,10
5,25,10
6,25,10
7,25,10
8,25,10
9,24,10
10,24,10
11,24,10
12,24,10
13,24,10
14,23,10
15,23,10
16,23,10
17,23,10
18,23,10
19,23,10
20,22,10
21,21,10
22,21,10
23,21,10
24,21,10
25,21,10
26,21,10
27,20,10
28,20,10
29,20,10
30,20,10
31,19,10
32,19,10
33,19,10
34,19,10
35,19,10
36,19,10
37,18,10
38,19,10
39,19,10
40,19,10
41,19,10
42,21,10
43,22,10
44,23,10
45,23,10
46,24,10
47,24,10
48,22,10
49,22,10
50,21,10
51,21,10
52,20,10
53,20,10
54,19,10
55,19,10
56,19,10
57,19,10
58,19,12
59,19,12
60,18,12
61,18,12
62,18,12
63,18,12
64,18,12
65,18,12
66,18,12
67,18,12
68,18,12
69,18,12
70,18,13
71,18,14
72,18,14
73,18,14
74,18,14
75,18,14
76,18,14
77,18,14
78,17,14
79,17,14
80,19,14
81,18,14
82,17,14
83,17,14
84,17,14
85,17,14
86,16,13
87,15,12
88,16,12
89,16,12
90,16,12
91,18,12
92,19,12
93,19,12
94,19,12
95,19,12
96,19,11
97,19,11
98,18,11
99,18,11
100,18,11
101,18,11
102,17,11
103,17,11
104,16,12
105,16,12
106,16,12
107,16,12
108,14,12
109,14,12
110,14,12
111,14,12
112,14,12
113,14,12
114,14,11
115,13,11
116,13,11
117,13,11
118,15,11
119,14,11
120,14,11
121,14,11
122,13,11
123,13,11
124,13,11
125,13,11
126,15,12
127,15,12
128,15,12
129,15,12
130,14,11
131,14,11
132,14,11
133,14,11
134,14,11
135,14,12
136,14,12
137,14,12
138,14,12
139,14,13
140,14,13
141,14,13
142,14,13
143,13,13
144,13,13
145,13,13
146,12,15
147,12,15
148,12,14
149,13,14
150,14,14
151,14,14
152,14,14
153,14,14
154,15,13
155,15,13
156,15,13
157,15,13
158,14,13
159,13,13
160,13,13
161,13,11
162,13,11
163,13,11
164,13,11
165,13,11
166,13,12
167,13,12
168,13,12
169,13,12
170,14,12
171,14,12
172,14,12
173,14,12
174,14,12
175,14,12
176,14,12
177,14,12
178,16,12
179,16,12
180,16,12
181,16,12
182,16,12
183,16,12
184,15,12
185,15,12
186,14,12
187,14,12
188,14,12
189,14,12
190,14,12
191,13,12
192,13,12
193,13,12
194,13,12
195,13,12
196,13,12
197,13,13
198,13,13
199,13,13
200,12,12
201,12,12
202,12,12
203,12,12
204,12,12
205,12,12
206,14,12
